observation_date,UnemploymentRate,Metro
2015-01-01,4.8,Cincinnati
2015-01-01,5.5,Cleveland
2015-01-01,4.4,Columbus
2015-01-01,5.2,Ohio
2015-01-01,5.7,United States
2015-02-01,4.8,Cincinnati
2015-02-01,5.5,Cleveland
2015-02-01,4.4,Columbus
2015-02-01,5.2,Ohio
2015-02-01,5.5,United States
2015-03-01,4.7,Cincinnati
2015-03-01,5.4,Cleveland
2015-03-01,4.3,Columbus
2015-03-01,5.1,Ohio
2015-03-01,5.4,United States
2015-04-01,4.6,Cincinnati
2015-04-01,5.3,Cleveland
2015-04-01,4.2,Columbus
2015-04-01,5.1,Ohio
2015-04-01,5.4,United States
2015-05-01,4.5,Cincinnati
2015-05-01,5.2,Cleveland
2015-05-01,4.2,Columbus
2015-05-01,5,Ohio
2015-05-01,5.6,United States
2015-06-01,4.4,Cincinnati
2015-06-01,5.1,Cleveland
2015-06-01,4.1,Columbus
2015-06-01,4.9,Ohio
2015-06-01,5.3,United States
2015-07-01,4.4,Cincinnati
2015-07-01,4.9,Cleveland
2015-07-01,4.1,Columbus
2015-07-01,4.8,Ohio
2015-07-01,5.2,United States
2015-08-01,4.4,Cincinnati
2015-08-01,4.8,Cleveland
2015-08-01,4.1,Columbus
2015-08-01,4.8,Ohio
2015-08-01,5.1,United States
2015-09-01,4.4,Cincinnati
2015-09-01,4.7,Cleveland
2015-09-01,4.1,Columbus
2015-09-01,4.8,Ohio
2015-09-01,5,United States
2015-10-01,4.4,Cincinnati
2015-10-01,4.6,Cleveland
2015-10-01,4.2,Columbus
2015-10-01,4.8,Ohio
2015-10-01,5,United States
2015-11-01,4.5,Cincinnati
2015-11-01,4.7,Cleveland
2015-11-01,4.2,Columbus
2015-11-01,4.9,Ohio
2015-11-01,5.1,United States
2015-12-01,4.5,Cincinnati
2015-12-01,4.8,Cleveland
2015-12-01,4.3,Columbus
2015-12-01,4.9,Ohio
2015-12-01,5,United States
2016-01-01,4.5,Cincinnati
2016-01-01,4.9,Cleveland
2016-01-01,4.3,Columbus
2016-01-01,5,Ohio
2016-01-01,4.8,United States
2016-02-01,4.5,Cincinnati
2016-02-01,5,Cleveland
2016-02-01,4.2,Columbus
2016-02-01,5,Ohio
2016-02-01,4.9,United States
2016-03-01,4.4,Cincinnati
2016-03-01,5.1,Cleveland
2016-03-01,4.2,Columbus
2016-03-01,5,Ohio
2016-03-01,5,United States
2016-04-01,4.3,Cincinnati
2016-04-01,5.1,Cleveland
2016-04-01,4.1,Columbus
2016-04-01,5,Ohio
2016-04-01,5.1,United States
2016-05-01,4.3,Cincinnati
2016-05-01,5.2,Cleveland
2016-05-01,4.1,Columbus
2016-05-01,5,Ohio
2016-05-01,4.8,United States
2016-06-01,4.2,Cincinnati
2016-06-01,5.3,Cleveland
2016-06-01,4.1,Columbus
2016-06-01,5,Ohio
2016-06-01,4.9,United States
2016-07-01,4.3,Cincinnati
2016-07-01,5.4,Cleveland
2016-07-01,4.1,Columbus
2016-07-01,5,Ohio
2016-07-01,4.8,United States
2016-08-01,4.3,Cincinnati
2016-08-01,5.5,Cleveland
2016-08-01,4.2,Columbus
2016-08-01,5,Ohio
2016-08-01,4.9,United States
2016-09-01,4.4,Cincinnati
2016-09-01,5.6,Cleveland
2016-09-01,4.3,Columbus
2016-09-01,5.1,Ohio
2016-09-01,5,United States
2016-10-01,4.5,Cincinnati
2016-10-01,5.8,Cleveland
2016-10-01,4.3,Columbus
2016-10-01,5.2,Ohio
2016-10-01,4.9,United States
2016-11-01,4.5,Cincinnati
2016-11-01,6,Cleveland
2016-11-01,4.4,Columbus
2016-11-01,5.2,Ohio
2016-11-01,4.7,United States
2016-12-01,4.5,Cincinnati
2016-12-01,6.1,Cleveland
2016-12-01,4.4,Columbus
2016-12-01,5.2,Ohio
2016-12-01,4.7,United States
2017-01-01,4.4,Cincinnati
2017-01-01,6.1,Cleveland
2017-01-01,4.3,Columbus
2017-01-01,5.2,Ohio
2017-01-01,4.7,United States
2017-02-01,4.4,Cincinnati
2017-02-01,6,Cleveland
2017-02-01,4.2,Columbus
2017-02-01,5.1,Ohio
2017-02-01,4.6,United States
2017-03-01,4.3,Cincinnati
2017-03-01,5.9,Cleveland
2017-03-01,4.1,Columbus
2017-03-01,5.1,Ohio
2017-03-01,4.4,United States
2017-04-01,4.2,Cincinnati
2017-04-01,5.8,Cleveland
2017-04-01,4.1,Columbus
2017-04-01,5,Ohio
2017-04-01,4.4,United States
2017-05-01,4.2,Cincinnati
2017-05-01,5.7,Cleveland
2017-05-01,4,Columbus
2017-05-01,5,Ohio
2017-05-01,4.4,United States
2017-06-01,4.2,Cincinnati
2017-06-01,5.6,Cleveland
2017-06-01,4,Columbus
2017-06-01,5,Ohio
2017-06-01,4.3,United States
2017-07-01,4.2,Cincinnati
2017-07-01,5.5,Cleveland
2017-07-01,4,Columbus
2017-07-01,4.9,Ohio
2017-07-01,4.3,United States
2017-08-01,4.2,Cincinnati
2017-08-01,5.5,Cleveland
2017-08-01,4,Columbus
2017-08-01,4.9,Ohio
2017-08-01,4.4,United States
2017-09-01,4.2,Cincinnati
2017-09-01,5.4,Cleveland
2017-09-01,4,Columbus
2017-09-01,4.9,Ohio
2017-09-01,4.3,United States
2017-10-01,4.2,Cincinnati
2017-10-01,5.2,Cleveland
2017-10-01,4,Columbus
2017-10-01,4.8,Ohio
2017-10-01,4.2,United States
2017-11-01,4.1,Cincinnati
2017-11-01,5.1,Cleveland
2017-11-01,3.9,Columbus
2017-11-01,4.7,Ohio
2017-11-01,4.2,United States
2017-12-01,4,Cincinnati
2017-12-01,5,Cleveland
2017-12-01,3.9,Columbus
2017-12-01,4.6,Ohio
2017-12-01,4.1,United States
2018-01-01,4,Cincinnati
2018-01-01,4.8,Cleveland
2018-01-01,3.8,Columbus
2018-01-01,4.6,Ohio
2018-01-01,4,United States
2018-02-01,4,Cincinnati
2018-02-01,4.8,Cleveland
2018-02-01,3.8,Columbus
2018-02-01,4.5,Ohio
2018-02-01,4.1,United States
2018-03-01,4,Cincinnati
2018-03-01,4.8,Cleveland
2018-03-01,3.8,Columbus
2018-03-01,4.5,Ohio
2018-03-01,4,United States
2018-04-01,3.9,Cincinnati
2018-04-01,4.8,Cleveland
2018-04-01,3.8,Columbus
2018-04-01,4.5,Ohio
2018-04-01,4,United States
2018-05-01,3.9,Cincinnati
2018-05-01,4.8,Cleveland
2018-05-01,3.8,Columbus
2018-05-01,4.5,Ohio
2018-05-01,3.8,United States
2018-06-01,3.9,Cincinnati
2018-06-01,4.7,Cleveland
2018-06-01,3.8,Columbus
2018-06-01,4.4,Ohio
2018-06-01,4,United States
2018-07-01,3.9,Cincinnati
2018-07-01,4.7,Cleveland
2018-07-01,3.8,Columbus
2018-07-01,4.4,Ohio
2018-07-01,3.8,United States
2018-08-01,3.9,Cincinnati
2018-08-01,4.6,Cleveland
2018-08-01,3.8,Columbus
2018-08-01,4.4,Ohio
2018-08-01,3.8,United States
2018-09-01,3.9,Cincinnati
2018-09-01,4.6,Cleveland
2018-09-01,3.8,Columbus
2018-09-01,4.4,Ohio
2018-09-01,3.7,United States
2018-10-01,3.9,Cincinnati
2018-10-01,4.5,Cleveland
2018-10-01,3.9,Columbus
2018-10-01,4.5,Ohio
2018-10-01,3.8,United States
2018-11-01,3.9,Cincinnati
2018-11-01,4.5,Cleveland
2018-11-01,3.9,Columbus
2018-11-01,4.5,Ohio
2018-11-01,3.8,United States
2018-12-01,3.9,Cincinnati
2018-12-01,4.4,Cleveland
2018-12-01,3.8,Columbus
2018-12-01,4.5,Ohio
2018-12-01,3.9,United States
2019-01-01,3.9,Cincinnati
2019-01-01,4.3,Cleveland
2019-01-01,3.8,Columbus
2019-01-01,4.4,Ohio
2019-01-01,4,United States
2019-02-01,3.8,Cincinnati
2019-02-01,4.2,Cleveland
2019-02-01,3.6,Columbus
2019-02-01,4.2,Ohio
2019-02-01,3.8,United States
2019-03-01,3.7,Cincinnati
2019-03-01,4,Cleveland
2019-03-01,3.5,Columbus
2019-03-01,4,Ohio
2019-03-01,3.8,United States
2019-04-01,3.6,Cincinnati
2019-04-01,4,Cleveland
2019-04-01,3.4,Columbus
2019-04-01,3.9,Ohio
2019-04-01,3.7,United States
2019-05-01,3.6,Cincinnati
2019-05-01,4,Cleveland
2019-05-01,3.4,Columbus
2019-05-01,3.9,Ohio
2019-05-01,3.6,United States
2019-06-01,3.6,Cincinnati
2019-06-01,4,Cleveland
2019-06-01,3.5,Columbus
2019-06-01,3.9,Ohio
2019-06-01,3.6,United States
2019-07-01,3.7,Cincinnati
2019-07-01,4,Cleveland
2019-07-01,3.6,Columbus
2019-07-01,4,Ohio
2019-07-01,3.7,United States
2019-08-01,3.7,Cincinnati
2019-08-01,4.1,Cleveland
2019-08-01,3.6,Columbus
2019-08-01,4.1,Ohio
2019-08-01,3.6,United States
2019-09-01,3.7,Cincinnati
2019-09-01,4.1,Cleveland
2019-09-01,3.7,Columbus
2019-09-01,4.2,Ohio
2019-09-01,3.5,United States
2019-10-01,3.7,Cincinnati
2019-10-01,4.1,Cleveland
2019-10-01,3.7,Columbus
2019-10-01,4.3,Ohio
2019-10-01,3.6,United States
2019-11-01,3.7,Cincinnati
2019-11-01,4.2,Cleveland
2019-11-01,3.7,Columbus
2019-11-01,4.3,Ohio
2019-11-01,3.6,United States
2019-12-01,3.7,Cincinnati
2019-12-01,4.2,Cleveland
2019-12-01,3.6,Columbus
2019-12-01,4.3,Ohio
2019-12-01,3.6,United States
2020-01-01,3.8,Cincinnati
2020-01-01,4.3,Cleveland
2020-01-01,3.6,Columbus
2020-01-01,4.4,Ohio
2020-01-01,3.6,United States
2020-02-01,3.9,Cincinnati
2020-02-01,4.4,Cleveland
2020-02-01,3.5,Columbus
2020-02-01,4.5,Ohio
2020-02-01,3.5,United States
2020-03-01,4.2,Cincinnati
2020-03-01,4.8,Cleveland
2020-03-01,4.3,Columbus
2020-03-01,4.8,Ohio
2020-03-01,4.4,United States
2020-04-01,13.3,Cincinnati
2020-04-01,21,Cleveland
2020-04-01,12.8,Columbus
2020-04-01,16.5,Ohio
2020-04-01,14.8,United States
2020-05-01,12,Cincinnati
2020-05-01,15.7,Cleveland
2020-05-01,11.5,Columbus
2020-05-01,12.8,Ohio
2020-05-01,13.2,United States
2020-06-01,9.2,Cincinnati
2020-06-01,13.3,Cleveland
2020-06-01,9.8,Columbus
2020-06-01,11,Ohio
2020-06-01,11,United States
2020-07-01,8,Cincinnati
2020-07-01,11.8,Cleveland
2020-07-01,8.6,Columbus
2020-07-01,9.8,Ohio
2020-07-01,10.2,United States
2020-08-01,7,Cincinnati
2020-08-01,10,Cleveland
2020-08-01,7.1,Columbus
2020-08-01,8.3,Ohio
2020-08-01,8.4,United States
2020-09-01,6.3,Cincinnati
2020-09-01,9.1,Cleveland
2020-09-01,6.8,Columbus
2020-09-01,7.6,Ohio
2020-09-01,7.8,United States
2020-10-01,5.9,Cincinnati
2020-10-01,8.1,Cleveland
2020-10-01,6.2,Columbus
2020-10-01,6.7,Ohio
2020-10-01,6.9,United States
2020-11-01,5.6,Cincinnati
2020-11-01,7.5,Cleveland
2020-11-01,5.9,Columbus
2020-11-01,6.4,Ohio
2020-11-01,6.7,United States
2020-12-01,5.4,Cincinnati
2020-12-01,7.1,Cleveland
2020-12-01,5.7,Columbus
2020-12-01,6.3,Ohio
2020-12-01,6.7,United States
2021-01-01,5.2,Cincinnati
2021-01-01,6.6,Cleveland
2021-01-01,5.7,Columbus
2021-01-01,6.1,Ohio
2021-01-01,6.4,United States
2021-02-01,5.2,Cincinnati
2021-02-01,6.3,Cleveland
2021-02-01,5.8,Columbus
2021-02-01,6.1,Ohio
2021-02-01,6.2,United States
2021-03-01,5.1,Cincinnati
2021-03-01,6.1,Cleveland
2021-03-01,5.8,Columbus
2021-03-01,6,Ohio
2021-03-01,6.1,United States
2021-04-01,5,Cincinnati
2021-04-01,6,Cleveland
2021-04-01,5.7,Columbus
2021-04-01,5.9,Ohio
2021-04-01,6.1,United States
2021-05-01,4.9,Cincinnati
2021-05-01,5.9,Cleveland
2021-05-01,5.4,Columbus
2021-05-01,5.7,Ohio
2021-05-01,5.8,United States
2021-06-01,4.7,Cincinnati
2021-06-01,5.8,Cleveland
2021-06-01,5.1,Columbus
2021-06-01,5.5,Ohio
2021-06-01,5.9,United States
2021-07-01,4.5,Cincinnati
2021-07-01,5.7,Cleveland
2021-07-01,4.7,Columbus
2021-07-01,5.2,Ohio
2021-07-01,5.4,United States
2021-08-01,4.3,Cincinnati
2021-08-01,5.5,Cleveland
2021-08-01,4.3,Columbus
2021-08-01,4.9,Ohio
2021-08-01,5.1,United States
2021-09-01,4,Cincinnati
2021-09-01,5.3,Cleveland
2021-09-01,4,Columbus
2021-09-01,4.7,Ohio
2021-09-01,4.7,United States
2021-10-01,3.8,Cincinnati
2021-10-01,5.1,Cleveland
2021-10-01,3.7,Columbus
2021-10-01,4.4,Ohio
2021-10-01,4.5,United States
2021-11-01,3.6,Cincinnati
2021-11-01,5,Cleveland
2021-11-01,3.5,Columbus
2021-11-01,4.3,Ohio
2021-11-01,4.2,United States
2021-12-01,3.5,Cincinnati
2021-12-01,4.9,Cleveland
2021-12-01,3.4,Columbus
2021-12-01,4.1,Ohio
2021-12-01,3.9,United States
2022-01-01,3.4,Cincinnati
2022-01-01,4.9,Cleveland
2022-01-01,3.3,Columbus
2022-01-01,4,Ohio
2022-01-01,4,United States
2022-02-01,3.4,Cincinnati
2022-02-01,4.9,Cleveland
2022-02-01,3.2,Columbus
2022-02-01,3.9,Ohio
2022-02-01,3.8,United States
2022-03-01,3.4,Cincinnati
2022-03-01,4.9,Cleveland
2022-03-01,3.2,Columbus
2022-03-01,3.9,Ohio
2022-03-01,3.7,United States
2022-04-01,3.4,Cincinnati
2022-04-01,4.8,Cleveland
2022-04-01,3.3,Columbus
2022-04-01,3.9,Ohio
2022-04-01,3.7,United States
2022-05-01,3.5,Cincinnati
2022-05-01,4.7,Cleveland
2022-05-01,3.4,Columbus
2022-05-01,3.9,Ohio
2022-05-01,3.6,United States
2022-06-01,3.5,Cincinnati
2022-06-01,4.7,Cleveland
2022-06-01,3.4,Columbus
2022-06-01,3.9,Ohio
2022-06-01,3.6,United States
2022-07-01,3.6,Cincinnati
2022-07-01,4.6,Cleveland
2022-07-01,3.5,Columbus
2022-07-01,4,Ohio
2022-07-01,3.5,United States
2022-08-01,3.6,Cincinnati
2022-08-01,4.5,Cleveland
2022-08-01,3.6,Columbus
2022-08-01,4.1,Ohio
2022-08-01,3.6,United States
2022-09-01,3.6,Cincinnati
2022-09-01,4.5,Cleveland
2022-09-01,3.6,Columbus
2022-09-01,4.1,Ohio
2022-09-01,3.5,United States
2022-10-01,3.6,Cincinnati
2022-10-01,4.4,Cleveland
2022-10-01,3.5,Columbus
2022-10-01,4.1,Ohio
2022-10-01,3.6,United States
2022-11-01,3.5,Cincinnati
2022-11-01,4.2,Cleveland
2022-11-01,3.5,Columbus
2022-11-01,4,Ohio
2022-11-01,3.6,United States
2022-12-01,3.4,Cincinnati
2022-12-01,4.1,Cleveland
2022-12-01,3.4,Columbus
2022-12-01,3.9,Ohio
2022-12-01,3.5,United States
2023-01-01,3.4,Cincinnati
2023-01-01,3.9,Cleveland
2023-01-01,3.3,Columbus
2023-01-01,3.8,Ohio
2023-01-01,3.5,United States
2023-02-01,3.3,Cincinnati
2023-02-01,3.8,Cleveland
2023-02-01,3.2,Columbus
2023-02-01,3.6,Ohio
2023-02-01,3.6,United States
2023-03-01,3.3,Cincinnati
2023-03-01,3.7,Cleveland
2023-03-01,3.1,Columbus
2023-03-01,3.5,Ohio
2023-03-01,3.5,United States
2023-04-01,3.3,Cincinnati
2023-04-01,3.6,Cleveland
2023-04-01,3.1,Columbus
2023-04-01,3.4,Ohio
2023-04-01,3.4,United States
2023-05-01,3.3,Cincinnati
2023-05-01,3.6,Cleveland
2023-05-01,3.1,Columbus
2023-05-01,3.4,Ohio
2023-05-01,3.6,United States
2023-06-01,3.3,Cincinnati
2023-06-01,3.5,Cleveland
2023-06-01,3.1,Columbus
2023-06-01,3.4,Ohio
2023-06-01,3.6,United States
2023-07-01,3.4,Cincinnati
2023-07-01,3.6,Cleveland
2023-07-01,3.2,Columbus
2023-07-01,3.5,Ohio
2023-07-01,3.5,United States
2023-08-01,3.5,Cincinnati
2023-08-01,3.6,Cleveland
2023-08-01,3.3,Columbus
2023-08-01,3.6,Ohio
2023-08-01,3.7,United States
2023-09-01,3.6,Cincinnati
2023-09-01,3.7,Cleveland
2023-09-01,3.4,Columbus
2023-09-01,3.8,Ohio
2023-09-01,3.8,United States
2023-10-01,3.7,Cincinnati
2023-10-01,3.7,Cleveland
2023-10-01,3.4,Columbus
2023-10-01,3.8,Ohio
2023-10-01,3.9,United States
2023-11-01,3.7,Cincinnati
2023-11-01,3.7,Cleveland
2023-11-01,3.5,Columbus
2023-11-01,3.9,Ohio
2023-11-01,3.7,United States
2023-12-01,3.8,Cincinnati
2023-12-01,3.7,Cleveland
2023-12-01,3.5,Columbus
2023-12-01,3.9,Ohio
2023-12-01,3.8,United States
2024-01-01,3.8,Cincinnati
2024-01-01,3.8,Cleveland
2024-01-01,3.6,Columbus
2024-01-01,4,Ohio
2024-01-01,3.7,United States
2024-02-01,3.9,Cincinnati
2024-02-01,3.8,Cleveland
2024-02-01,3.7,Columbus
2024-02-01,4,Ohio
2024-02-01,3.9,United States
2024-03-01,4,Cincinnati
2024-03-01,3.8,Cleveland
2024-03-01,3.8,Columbus
2024-03-01,4.1,Ohio
2024-03-01,3.9,United States
2024-04-01,4.1,Cincinnati
2024-04-01,3.9,Cleveland
2024-04-01,3.9,Columbus
2024-04-01,4.2,Ohio
2024-04-01,3.9,United States
2024-05-01,4.2,Cincinnati
2024-05-01,4,Cleveland
2024-05-01,4,Columbus
2024-05-01,4.2,Ohio
2024-05-01,4,United States
2024-06-01,4.3,Cincinnati
2024-06-01,4,Cleveland
2024-06-01,4,Columbus
2024-06-01,4.3,Ohio
2024-06-01,4.1,United States
2024-07-01,4.3,Cincinnati
2024-07-01,4.1,Cleveland
2024-07-01,4.1,Columbus
2024-07-01,4.3,Ohio
2024-07-01,4.2,United States
2024-08-01,4.3,Cincinnati
2024-08-01,4.1,Cleveland
2024-08-01,4.1,Columbus
2024-08-01,4.4,Ohio
2024-08-01,4.2,United States
2024-09-01,4.3,Cincinnati
2024-09-01,4,Cleveland
2024-09-01,4.1,Columbus
2024-09-01,4.4,Ohio
2024-09-01,4.1,United States
2024-10-01,4.4,Cincinnati
2024-10-01,3.9,Cleveland
2024-10-01,4.1,Columbus
2024-10-01,4.5,Ohio
2024-10-01,4.1,United States
2024-11-01,4.4,Cincinnati
2024-11-01,3.8,Cleveland
2024-11-01,4.1,Columbus
2024-11-01,4.5,Ohio
2024-11-01,4.2,United States
2024-12-01,4.4,Cincinnati
2024-12-01,3.8,Cleveland
2024-12-01,4.1,Columbus
2024-12-01,4.5,Ohio
2024-12-01,4.1,United States
